laptop_id	full_name_with_specs	link_profile	full_name	producer	model	cpu	cpu_mark	gpu	disc	ram	ram_tech	display_size	display_resolution	display_hz	display_tech	weight	hdmi_version	wifi_version	bluetooth_version	webcam_resolution	microphone_count	publishing_date	price_in_dollar	review_link	amazon_link	dimensions	ethernet	fingerprint_reader	service_rank	service_level		Purpose
1	ASUS VivoBook S 15ProcessorAMD Ryzen 9 6900HXInternal memory32GB RAMVideo cardAMD Radeon 680MDisplay15.6â€, FHD (1920 x 1080), OLEDSolid-state drive2000GB SSD	https://laptopmedia.com/laptop-specs/asus-vivobook-s-15-152/	ASUS VivoBook S 15	ASUS	VivoBookS15	AMD Ryzen 9 6900HX	24906	AMD Radeon 680M	2000GB SSD	32GB		15.6â€	 Full HD (1920 x 1080)		 OLED	2	2.1	802.11ax	5	720p	1x Microphone	25.09.2023						Fingerprint reader	5	80/100		Gaming and General use
2	HP OMEN 16ProcessorIntel Core i7-12700HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3050 Ti (Laptop)Display16.1â€³, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD	https://laptopmedia.com/laptop-specs/hp-omen-16-1212/	HP OMEN 16	HP	OMEN16	Intel Core i7-12700H	26457	NVIDIA GeForce RTX 3050 Ti (Laptop)	1000GB SSD	16GB	DDR5	16.1â€³	 Full HD (1920 x 1080)	 144 Hz	 IPS	2.41 kg (5.3 lbs)	2.1	802.11ax	5.2	720p	2x Microphones	20.09.2023				369.06 x 247.90 x 23 mm (14.53" x 9.76" x 0.91")	10, 100, 1000 Mbit/s	Fingerprint reader	9	63/100		Gaming ,content creation and General use
3	LG gram 17ProcessorIntel Core i7-1360PInternal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display17.0â€, QHD+ (2560 x 1600), IPSSolid-state drive4000GB SSD	https://laptopmedia.com/laptop-specs/lg-gram-17-525/	LG gram 17	LG	gram17	Intel Core i7-1360P	19277	Intel Iris Xe Graphics G7 (96EU)	4000GB SSD	16GB		17.0â€	 QHD (2560 x 1600)		 IPS	3.2 Gen 1 (5 Gbps)		802.11ax	5.1	720p	2x Microphones	20.09.2023						Fingerprint reader				Gaming,Normal use and 
4	HP 15ProcessorIntel Core i5-1135G7Internal memory32GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display15.6â€, HD (1366 x 768), TNHard drive1000GB HDDSolid-state drive2000GB SSD	https://laptopmedia.com/laptop-specs/hp-15-17220/	HP 15	HP	15	Intel Core i5-1135G7	9901	Intel Iris Xe Graphics G7 (80EU)	2000GB SSD + 1000GB HDD	32GB		15.6â€	 HD (1366 x 768)		 TN	358.5 x 242 x 19.9 mm (14.11" x 9.53" x 0.78")	1.4b	802.11ac	4.2	720p	2x Microphones	17.10.2023	$1,890.00 	https://laptopmedia.com/review/hp-15-15-dw1000-review-you-get-a-lot-for-such-a-low-price/	https://www.amazon.com/exec/obidos/ASIN/B0CDRPGMW9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3		10, 100, 1000 Mbit/s	Fingerprint reader	9	63/100		Normal,productivity,casual Gaming
5	HP ENVY 17ProcessorIntel Core i7-13700HInternal memory48GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop)Display17.3â€, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD	https://laptopmedia.com/laptop-specs/hp-envy-17-3724/	HP ENVY 17	HP	ENVY17	Intel Core i7-13700H	28201	NVIDIA GeForce RTX 3050 (Laptop)	1000GB SSD	48GB		17.3â€	 Full HD (1920 x 1080)		 IPS	3.2 Gen 2 (10 Gbps)	2.1	802.11ax	5.2	720p	2x Microphones	17.10.2023							9	63/100		Normal,Gaming ,Media and Entertainament
6	HP 15ProcessorIntel Core i3-1215UInternal memory8GB RAMVideo cardIntel UHD Graphics (Alder Lake, 64EU)Display15.6â€, HD (1366 x 768), TNSolid-state drive512GB SSD	https://laptopmedia.com/laptop-specs/hp-15-17833/	HP 15	HP	15	Intel Core i3-1215U	11042	Intel UHD Graphics (Alder Lake, 64EU)	512GB SSD	8GB		15.6â€	 HD (1366 x 768)		 TN	3.2 Gen 1 (5 Gbps)	1.4b	802.11ax	5.2	720p	2x Microphones	03.11.2023						Fingerprint reader	9	63/100		Normal,Productivity,Media consumption
7	Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory32GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6â€, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive1000GB SSD	https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-929/	Lenovo IdeaPad Gaming 3i 15	Lenovo	IdeaPadGaming3i15	Intel Core i5-11300H	11002	NVIDIA GeForce GTX 1650 (Laptop)	1000GB SSD	32GB	DDR4	15.6â€	 Full HD (1920 x 1080)	 120 Hz	 IPS	2.25 kg (5 lbs)	2	802.11ax	5	720p	2x Microphones	02.11.2023	$1,009.00 	https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/	https://www.amazon.com/exec/obidos/ASIN/B0CFX4DT8L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3	359.6 x 251.9 x 24.2 mm (14.16" x 9.92" x 0.95")	10, 100, 1000 Mbit/s	Fingerprint reader	3	85/100		Gaming,Everyday use
8	Dell Inspiron 15 5567ProcessorIntel Core i5-7200UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display15.6â€, Full HD (1920 x 1080), IPSHard drive1000GB HDD	https://laptopmedia.com/laptop-specs/dell-inspiron-15-5567-9/	Dell Inspiron 15 5567	Dell	Inspiron155567	Intel Core i5-7200U	3394	Intel HD Graphics 620	1000GB HDD	8GB	2400Mhz	15.6â€	 Full HD (1920 x 1080)		 IPS	2.30 kg (5.1 lbs)	2	802.11ac	4.2	720p		02.12.2017							4	80/100		Normal,productivity use
9	Lenovo Ideapad 320ProcessorAMD A12-9720PInternal memory8GB RAMVideo cardAMD Radeon R7 (Bristol Ridge)Display15.6â€, HD (1366 x 768), TNHard drive1000GB HDD	https://laptopmedia.com/laptop-specs/lenovo-ideapad-320-4/	Lenovo Ideapad 320	Lenovo	Ideapad320	AMD A12-9720P	2637	AMD Radeon R7 (Bristol Ridge)	1000GB HDD	8GB		15.6â€	 HD (1366 x 768)		 TN	2.20 kg (4.9 lbs)	1.4b	802.11ac	4.1	720p	1x Microphone	14.12.2017	$528.18 	https://laptopmedia.com/review/lenovo-ideapad-320-core-i5-7200u-geforce-940mx-review-good-ultra-budget-solution-but-dont-expect-more/	https://www.amazon.com/exec/obidos/ASIN/B073WQLZ7M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3				3	85/100		Normal use,basic Productivity 
10	ASUS Chromebook C223ProcessorIntel Celeron N3350Internal memory4GB RAMVideo cardIntel HD Graphics 500 (Apollo Lake)Display11.6â€, HD (1366 x 768), TNSolid-state drive32GB SSD	https://laptopmedia.com/laptop-specs/asus-chromebook-c223-2/	ASUS Chromebook C223	ASUS	ChromebookC223	Intel Celeron N3350	1109	Intel HD Graphics 500 (Apollo Lake)	32GB SSD	4GB		11.6â€	 HD (1366 x 768)		 TN	3.2 Gen 1 (5 Gbps), Power Delivery (PD), DisplayPort		802.11ac	4			16.04.2019							5	80/100		Normal,Education use
11	Lenovo ThinkPad X1 YogaProcessorIntel Core i7-8550UInternal memory8GB RAMVideo cardIntel UHD Graphics 620Display14.0â€, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD	https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-yoga-12/	Lenovo ThinkPad X1 Yoga	Lenovo	ThinkPadX1Yoga	Intel Core i7-8550U	5930	Intel UHD Graphics 620	256GB SSD	8GB		14.0â€	 Full HD (1920 x 1080)		 IPS	1.40 kg (3.1 lbs)	1.4	802.11ac	4.1		2x Microphones	01.05.2018	$1,069.99 	https://laptopmedia.com/review/lenovo-thinkpad-x1-yoga-3rd-gen-review-a-robust-industrial-convertible/	https://www.amazon.com/exec/obidos/ASIN/B079LFZDZX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3			Fingerprint reader	3	85/100		Normal,Productivity
12	Acer Nitro 7 (AN715-51)ProcessorIntel Core i7-9750HInternal memory8GB RAMVideo cardNVIDIA GeForce GTX 1050 (3GB GDDR5)DisplaySolid-state drive256GB SSD	https://laptopmedia.com/laptop-specs/acer-nitro-7-an715-51-102/	Acer Nitro 7 (AN715-51)	Acer	Nitro7(AN715-51)	Intel Core i7-9750H	10948	NVIDIA GeForce GTX 1050 (3GB GDDR5)	256GB SSD	8GB	DDR4					2.22 kg (4.9 lbs)		802.11ac	4	720p		07.08.2020	$1,349.99 	https://laptopmedia.com/review/acer-nitro-7-an715-51-review-comes-to-shatter-the-budget-gaming-industry/	https://www.amazon.com/exec/obidos/ASIN/B07QXT3WC6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3		10, 100, 1000 Mbit/s	Fingerprint reader	7	73/100		Gaming and Multitasking
13	Lenovo ThinkPad X1 Carbon (5th Gen)ProcessorIntel Core i7-7600UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display14.0â€, WQHD (2560 x 1440), IPSSolid-state drive2000GB SSD	https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-carbon-5th-gen-28/	Lenovo ThinkPad X1 Carbon (5th Gen)	Lenovo	ThinkPadX1Carbon(5thGen)	Intel Core i7-7600U	3724	Intel HD Graphics 620	2000GB SSD	8GB	1866MHz	14.0â€	 WQHD (2560 x 1440)		 IPS	324 x 217 x 16 mm (12.76" x 8.54" x 0.63")		802.11ac	4.1	720p	2x Microphones	31.07.2020						Fingerprint reader	3	85/100		Business and Prosuctivity
14	HP 15ProcessorIntel Core i5-7200UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display15.6â€, HD (1366 x 768), TNHard drive1000GB HDD	https://laptopmedia.com/laptop-specs/hp-15-1435/	HP 15	HP	15	Intel Core i5-7200U	3394	Intel HD Graphics 620	1000GB HDD	8GB	DDR4	15.6â€	 HD (1366 x 768)		 TN	3.2 Gen 1 (5 Gbps)		802.11b/g/n	4			11.08.2020							9	63/100		Normal use
15	ASUS ZenBook 14 (UX425JA-EB51)ProcessorIntel Core i5-1035G1Internal memory8GB RAMVideo cardIntel UHD Graphics G1Display14.0â€, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD	https://laptopmedia.com/laptop-specs/asus-zenbook-14-ux425ja-eb51/	ASUS ZenBook 14 (UX425JA-EB51)	ASUS	ZenBook14(UX425JA-EB51)	Intel Core i5-1035G1	7469	Intel UHD Graphics G1	512GB SSD	8GB	3200MHz	14.0â€	 Full HD (1920 x 1080)		 IPS	319 x 208 x 13.9 mm (12.56" x 8.19" x 0.55")	2.0b	802.11ax	5	720p	1x Microphone	27.08.2020							5	80/100		Normal,Business,Productivity
16	Lenovo Thinkpad X1 Yoga 3ProcessorIntel Core i5-8350UInternal memory16GB RAMVideo cardIntel UHD Graphics 620Display14.0â€, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD	https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-yoga-3-23/	Lenovo Thinkpad X1 Yoga 3	Lenovo	ThinkpadX1Yoga3	Intel Core i5-8350U	6220	Intel UHD Graphics 620	256GB SSD	16GB		14.0â€	 Full HD (1920 x 1080)		 IPS	1.40 kg (3.1 lbs)	1.4	802.11ac	4.1		2x Microphones	23.07.2020	$1,499.99 	https://laptopmedia.com/review/lenovo-thinkpad-x1-yoga-3rd-gen-review-a-robust-industrial-convertible/	https://www.amazon.com/exec/obidos/ASIN/B07FPZ2Y6V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3			Fingerprint reader	3	85/100		Business and Productivity
17	Dell Latitude 5480ProcessorIntel Core i7-7600UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display14.0â€, Full HD (1920 x 1080), TNSolid-state drive256GB SSD	https://laptopmedia.com/laptop-specs/dell-latitude-5480-6/	Dell Latitude 5480	Dell	Latitude5480	Intel Core i7-7600U	3724	Intel HD Graphics 620	256GB SSD	8GB	2400MHz	14.0â€	 Full HD (1920 x 1080)		 TN	1.60 kg (3.5 lbs)		802.11ac	4.1			14.12.2017							4	80/100		Business and Productivity
18	HP 15 (15-ay198nr)ProcessorIntel Core i7-7500UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display15.6â€, HD (1366 x 768), TNSolid-state drive256GB SSD	https://laptopmedia.com/laptop-specs/hp-15-15-ay198nr/	HP 15 (15-ay198nr)	HP	15(15-ay198nr)	Intel Core i7-7500U	3651	Intel HD Graphics 620	256GB SSD	8GB		15.6â€	 HD (1366 x 768)		 TN	3.2 Gen 1 (5 Gbps)		802.11ac	4	720p		04.01.2018					10, 100 Mbit/s		9	63/100		Normal,Business,Productivity
19	Lenovo ThinkPad T460sProcessorIntel Core i7-6600UInternal memory16GB RAMVideo cardIntel HD Graphics 520Display14.0â€, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD	https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t460s-223/	Lenovo ThinkPad T460s	Lenovo	ThinkPadT460s	Intel Core i7-6600U	3457	Intel HD Graphics 520	256GB SSD	16GB	2133MHz	14.0â€	 Full HD (1920 x 1080)		 IPS	331 x 227 x 17-19 mm (13.03" x 8.94" x 0.67")		802.11ac	4.1	720p	2x Microphones	02.08.2018					10, 100, 1000 Mbit/s		3	85/100		Business and Productivity
20	Dell G5 5587ProcessorIntel Core i7-8750HInternal memory32GB RAMVideo cardNVIDIA GeForce GTX 1050 Ti (4GB GDDR5)Display15.6â€, Full HD (1920 x 1080), IPSHard drive1000GB HDDSolid-state drive1000GB SSD	https://laptopmedia.com/laptop-specs/dell-g5-5587-206/	Dell G5 5587	Dell	G55587	Intel Core i7-8750H	9956	NVIDIA GeForce GTX 1050 Ti (4GB GDDR5)	1000GB SSD + 1000GB HDD	32GB		15.6â€	 Full HD (1920 x 1080)		 IPS	2.61 kg (5.8 lbs)	2	802.11ac		720p	2x Microphones	03.07.2020					10, 100, 1000 Mbit/s		4	80/100		
